"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Monday, Aug 24","None","NYY","@","CHW","L",5,9,"None","52-51",4,"None","None","None","None","None",NA,"--","None",1903,-14,-4,426,443,-17,53,51,2,0.509615384615385,NA
"Wednesday, Aug 26","None","NYY","None","WSH","L",1,2,"None","52-52",5,"None","None","None","None","None",NA,"---","None",1903,-15,-1,427,445,-18,53,52,1,0.504761904761905,NA
"Thursday, Aug 27","None","NYY","None","WSH","W",6,5,"None","53-52",4,"None","None","None","None","None",NA,"+","None",1903,-15,1,433,450,-17,54,52,2,0.509433962264151,NA
"Tuesday, Sep 1","None","NYY","@","PHA","W",5,1,"None","54-52",4,"None","None","None","None","None",NA,"++","None",1903,-15.5,4,438,451,-13,55,52,3,0.514018691588785,NA
"Tuesday, Sep 1","None","NYY","@","PHA","T",1,1,"None","54-52",4,"None","None","None","None","None",NA,"++","1903-08-29 (Rain)",1903,-15.5,0,439,452,-13,56,53,3,0.513761467889908,NA
"Wednesday, Sep 2","None","NYY","@","WSH","W",11,3,"None","55-52",4,"None","None","None","None","None",NA,"+++","None",1903,-15,8,450,455,-5,57,53,4,0.518181818181818,NA
"Thursday, Sep 3","None","NYY","@","WSH","W",3,1,"None","56-52",4,"None","None","None","None","None",NA,"++++","None",1903,-15,2,453,456,-3,58,53,5,0.522522522522523,NA
"Friday, Sep 4","None","NYY","@","WSH","L",1,8,"None","56-53",4,"None","None","None","None","None",NA,"-","None",1903,-15.5,-7,454,464,-10,58,54,4,0.517857142857143,NA
"Saturday, Sep 5","None","NYY","None","WSH","W",10,3,"None","57-53",4,"None","None","None","None","None",NA,"+","None",1903,-15.5,7,464,467,-3,59,54,5,0.52212389380531,NA
"Monday, Sep 7","None","NYY","None","BOS","L",0,4,"None","57-54",4,"None","None","None","None","None",NA,"-","None",1903,-15.5,-4,464,471,-7,59,55,4,0.517543859649123,NA
"Monday, Sep 7","None","NYY","None","BOS","W",5,0,"None","58-54",4,"None","None","None","None","None",NA,"+","None",1903,-15.5,5,469,471,-2,60,55,5,0.521739130434783,NA
"Tuesday, Sep 8","None","NYY","None","BOS","W",1,0,"None","59-54",4,"None","None","None","None","None",NA,"++","None",1903,-14.5,1,470,471,-1,61,55,6,0.525862068965517,NA
"Wednesday, Sep 9","None","NYY","None","PHA","W",4,0,"None","60-54",3,"None","None","None","None","None",NA,"+++","None",1903,-14.5,4,474,471,3,62,55,7,0.52991452991453,NA
"Wednesday, Sep 9","None","NYY","None","PHA","W",6,3,"None","61-54",3,"None","None","None","None","None",NA,"++++","1903-08-04 (Wet grounds)",1903,-14.5,3,480,474,6,63,55,8,0.533898305084746,NA
"Thursday, Sep 10","None","NYY","None","PHA","L",2,5,"None","61-55",4,"None","None","None","None","None",NA,"-","None",1903,-15.5,-3,482,479,3,63,56,7,0.529411764705882,NA
"Friday, Sep 11","None","NYY","None","PHA","L",4,7,"None","61-56",4,"None","None","None","None","None",NA,"--","None",1903,-16.5,-3,486,486,0,63,57,6,0.525,NA
"Saturday, Sep 12","None","NYY","@","BOS","L",1,10,"None","61-57",4,"None","None","None","None","None",NA,"---","None",1903,-17.5,-9,487,496,-9,63,58,5,0.520661157024793,NA
"Monday, Sep 14","None","NYY","@","BOS","W",4,2,"None","62-57",4,"None","None","None","None","None",NA,"+","None",1903,-16.5,2,491,498,-7,64,58,6,0.524590163934426,NA
"Tuesday, Sep 15","None","NYY","@","BOS","L",3,12,"None","62-58",4,"None","None","None","None","None",NA,"-","None",1903,-17.5,-9,494,510,-16,64,59,5,0.520325203252033,NA
"Friday, Sep 18","None","NYY","None","CHW","W",7,1,"None","63-58",4,"None","None","None","None","None",NA,"+","None",1903,-18,6,501,511,-10,65,59,6,0.524193548387097,NA
"Friday, Sep 18","None","NYY","None","CHW","W",6,3,"None","64-58",4,"None","None","None","None","None",NA,"++","1903-09-16 (Rain)",1903,-18,3,507,514,-7,66,59,7,0.528,NA
"Saturday, Sep 19","None","NYY","None","CLE","W",3,1,"None","65-58",4,"None","None","None","None","None",NA,"+++","None",1903,-18,2,510,515,-5,67,59,8,0.531746031746032,NA
