"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Friday, Sep 27","None","BOS","None","MLA","W",7,2,"None","77-57",2,"None","None","None","None","None",NA,"++++","None",1901,-5,5,735,586,149,79,58,0.576642335766423,NA
"Saturday, Sep 28","None","BOS","None","MLA","W",8,3,"None","78-57",2,"None","None","None","None","None",NA,"+++++","None",1901,-4,5,743,589,154,80,58,0.579710144927536,NA
"Saturday, Sep 28","None","BOS","None","MLA","W",10,9,"None","79-57",2,"None","None","None","None","None",NA,"++++++","None",1901,-4,1,753,598,155,81,58,0.58273381294964,NA
"Wednesday, Apr 23","None","BOS","@","WSH","L",3,7,"None","1-1",5,"None","None","None","None","None",NA,"-","None",1902,-0.5,-4,3,7,-4,0,1,0,NA
"Thursday, Apr 24","None","BOS","@","WSH","W",11,3,"None","2-1",2,"None","None","None","None","None",NA,"+","None",1902,-0.5,8,14,10,4,1,1,0.5,NA
"Friday, Apr 25","None","BOS","@","WSH","L",4,15,"None","2-2",3,"None","None","None","None","None",NA,"-","None",1902,-0.5,-11,18,25,-7,1,2,0.333333333333333,NA
"Saturday, Apr 26","None","BOS","@","WSH","L",7,15,"None","2-3",7,"None","None","None","None","None",NA,"--","None",1902,-1.5,-8,25,40,-15,1,3,0.25,NA
"Monday, Apr 28","None","BOS","@","BLA","W",7,3,"None","3-3",3,"None","None","None","None","None",NA,"+","None",1902,-0.5,4,32,43,-11,2,3,0.4,NA
"Wednesday, Apr 30","None","BOS","@","BLA","L",4,5,"None","3-4",6,"None","None","None","None","None",NA,"-","None",1902,-1.5,-1,36,48,-12,2,4,0.333333333333333,NA
"Thursday, May 1","None","BOS","@","BLA","W",6,4,"None","4-4",4,"None","None","None","None","None",NA,"+","None",1902,-1,2,42,52,-10,3,4,0.428571428571429,NA
"Friday, May 2","None","BOS","None","BLA","L",6,14,"None","4-5",7,"None","None","None","None","None",NA,"-","1902-05-07 (Schedule change)",1902,-2,-8,48,66,-18,3,5,0.375,NA
"Saturday, May 3","None","BOS","None","BLA","W",10,1,"None","5-5",4,"None","None","None","None","None",NA,"+","1902-05-08 (Schedule change)",1902,-2,9,58,67,-9,4,5,0.444444444444444,NA
"Monday, May 5","None","BOS","None","BLA","W",5,2,"None","6-5",4,"None","None","None","None","None",NA,"++","1902-05-09 (Schedule change)",1902,-1,3,63,69,-6,5,5,0.5,NA
